question,rightAnswer,answer1,answer2,answer3,
台灣最高山是哪座？,玉山,雪山,大霸尖山,南湖大山,
台灣有風城之稱的城市是哪？,新竹,基隆,桃園,屏東,
太魯閣國家公園佔地面積多少？,920平方公里,900平方公里,850平方公里,800平方公里,
跨台灣花蓮、南投、台中三個城市的國家公園是？,太魯閣國家公園,陽明山國家公園,玉山國家公園,雪霸國家公園,
台灣第一個24H營業的是什麼店？,永和豆漿,7-11,全家便利商店,麥當勞,
台灣唯一不靠海的城市是？,南投,嘉義,彰化,雲林,
台灣保育戰地的國家公園為哪座？,金門國家公園,南方四島國家公園,雪霸國家公園,太魯閣國家公園,
雪山隧道全長多少？,12.9公里,10.9公里,9.9公里,8.9公里,
鄭成功在出兵南京失利後，決定進攻臺灣，進占鹿耳門，將荷軍圍困於熱蘭遮城內，結束荷蘭在臺灣的 統治。其正確年代應是:,西元 1661 年,西元 1624 年,西元 1626 年,西元 1683 年,
下列有關清代「渡臺禁令」的敘述，何者錯誤?,奏請廢止渡臺禁令的官員是首任臺灣巡撫劉銘傳,渡臺禁令於康熙 23 年(西元 1684 年)頒布，光緒元年(西元 1875 年)廢止,林爽文事件之後，單身入臺的限制才放寬,渡臺禁令的目的在管控在臺漢人數量，並以家眷做為人質,
下列那一個清代臺灣的廳縣，設置最晚?,安平縣,恆春縣,新竹縣,淡水廳,
下列那一個城鎮，並非因開港通商後茶葉貿易而興起?,鹿谷,大稻埕,三角湧,大嵙崁,
"日本統治臺灣後，大力推動山林資源的開發活動，除採集樟腦外，砍伐林木也是重要一項，其中以三大
林場的木材產量最高，此三大林場不包括下列那一個林場?",東勢林場,八仙山林場,太平山林場,阿里山林場,
下列何者不適合描述清初臺灣移墾社會的實況?,士紳是移墾社會最主要的領導階層,有唐山公無唐山媽,三年一小反，五年一大反,人畏生番猛如虎，人欺熟番賤如土,
"霧峰林家的林獻堂不僅對於爭取臺灣人自治不遺餘力，同時對於舊文化的保存與新知識的推動，也為世
人所肯定。其中對於漢詩傳統的維繫，最具代表性的便是成立詩社。試問林獻堂所主持的詩社是:",櫟社,栗社,瀛社,南社,
歷史上臺灣人曾在下列何種狀況下具有國籍選擇權的行使權利?,西元 1895 年日本開始統治臺灣時,西元 1945 年日本宣布投降後,西元 1949 年國民黨政府退據臺灣時,西元 1952 年中日合約簽訂後,
"在日治時期臺灣民眾養成洗澡和經常洗手的習慣。試問原住民兒童刷牙習慣的養成，與下列那一類人士
的推動最有關係?",警察,頭目,醫師,牧師,
"「莎韻(Sayon，或譯莎勇)之鐘」是日治時代臺灣總督府刻意宣傳的故事與歌曲，試問其發生的背景為
何?",西元 1930 年代末期日本發動對華戰爭,西元 1895 年日軍占領臺灣,西元 1914 年日軍征伐太魯閣族,西元 1915 年噍吧哖事件,
金門在冷戰時期中華民國政府的定位為何?,反攻大陸的跳板,中國文化保存地,兩岸交流中間站,民主政治示範地,
"西元 1979 年中華人民共和國在外交上取得優勢，對臺開始採取「和平統戰」政策，提出「三通四流」的
主張，請問四流是指經濟交流、文化交流、科技交流以及下列何者?",體育交流,農業交流,教育交流,智財交流,
下列何者為西元 1990 年臺灣的學生運動?,野百合運動,保釣運動,野草莓運動,太陽花運動,
"西元 1950 年代政府的經濟政策決定發展「勞力密集的輕工業」，使原來必須向國外購買的民生物資，改 由國內自行生產，一方面平衡貿易逆差;另一方面，也能促進國內的工業發展，其產業中以紡織、食品
加工、皮革等最為重要。此政策為:",進口替代,出口擴張,十大建設,經濟重建,
西元 1944 年中國政府設置「臺灣調查委員會」，其主要目的為何?,研究、籌劃日後臺灣接收事宜,蒐集臺灣軍事機密,學習日本治臺經驗,收容流亡大陸的臺灣抗日份子,
,,,,
